x,a,b,c,d,e,f
1,1,0,0.1,0.7,0.05,0.95
2,0.5,0.5,0.1,0.7,0.1,0.9
3,0.333333333,0.666666667,0.1,0.7,0.2,0.8
4,0.25,0.75,0.1,0.7,0.3,0.7
5,0.2,0.8,0.1,0.7,0.4,0.6
6,0.166666667,0.833333333,0.1,0.7,0.5,0.5
7,0.142857143,0.857142857,0.1,0.7,0.6,0.4
8,0.125,0.875,0.1,0.7,0.7,0.3
9,0.111111111,0.888888889,0.1,0.7,0.8,0.2
10,0.1,0.9,0.1,0.7,0.9,0.1
11,0.090909091,0.909090909,0.1,0.7,0.9,0.1
12,0.083333333,0.916666667,0.1,0.7,0.8,0.2
13,0.076923077,0.923076923,0.1,0.7,0.7,0.3
14,0.071428571,0.928571429,0.1,0.7,0.6,0.4
15,0.066666667,0.933333333,0.1,0.7,0.5,0.5
16,0.0625,0.9375,0.1,0.7,0.4,0.6
17,0.058823529,0.941176471,0.1,0.7,0.3,0.7
18,0.055555556,0.944444444,0.1,0.7,0.2,0.8
19,0.052631579,0.947368421,0.1,0.7,0.1,0.9
20,0.05,0.95,0.1,0.7,0.05,0.95
